,index
1269,275432
1270,277194
1271,317684
1272,28904
1273,163391
1274,254482
1275,333646
1276,304668
1277,173494
1278,262515
1279,174433
1280,79001
1281,88533
1282,331652
1283,79342
1284,337103
1285,25036
1286,189324
1287,180281
1288,51846
1289,111109
1290,214375
1291,19114
1292,175147
1293,176898
1294,55885
1295,67995
1296,310303
1297,121704
1298,21475
1299,273017
1300,218150
1301,276408
1302,294807
1303,231864
1304,116674
1305,265995
1306,18803
1307,96659
1308,297707
1309,89382
1310,114923
1311,85463
1312,324068
1313,281929
1314,263275
1315,342325
1316,43103
1317,37724
1318,104247
1319,252094
1320,123189
1321,205219
1322,54231
1323,257100
1324,166998
1325,173924
1326,302818
1327,301417
1328,72238
1329,229683
1330,220775
1331,118321
1332,127062
1333,345993
1334,291471
1335,162734
1336,231179
1337,139996
1338,187306
1339,228217
1340,94786
1341,134007
1342,271450
1343,138708
1344,145674
1345,297372
1346,294761
1347,21025
1348,163388
1349,335440
1350,189875
1351,240914
1352,79968
1353,4018
1354,227145
1355,5359
1356,188726
1357,105411
1358,205419
1359,226025
1360,51739
1361,183111
1362,306
1363,299518
1364,319744
1365,224638
1366,72961
1367,96604
1368,51415
1369,1547
1370,104921
1371,236553
1372,200766
1373,248353
1374,308335
1375,245517
1376,322923
1377,344916
1378,255966
1379,344350
1380,100577
1381,116563
1382,106353
1383,162828
1384,171550
1385,20818
1386,63562
1387,145251
1388,263131
1389,316954
1390,82593
1391,264813
1392,208926
1393,331819
1394,292086
1395,167747
1396,319014
1397,321231
1398,114015
1399,180365
1400,215870
1401,232115
1402,269854
1403,173033
1404,54826
1405,180672
1406,199640
1407,157242
1408,52726
1409,211428
1410,162359
1411,253989
1412,108612
1413,111212
1414,333309
1415,231642
1416,18611
1417,17202
1418,143136
1419,74709
1420,189352
1421,334054
1422,132414
1423,15597
1424,332764
1425,31890
1426,46889
1427,71571
1428,250184
1429,139345
1430,246375
1431,292535
1432,337584
1433,221710
1434,281404
1435,72729
1436,1305
1437,49728
1438,232715
1439,6460
1440,173062
1441,125066
1442,281922
1443,206791
1444,335180
1445,316840
1446,315857
1447,88889
1448,227664
1449,171896
1450,335101
1451,241513
1452,200329
1453,89696
1454,88682
1455,226858
1456,172234
1457,340815
1458,203698
1459,22798
1460,78141
1461,125191
1462,44718
1463,324759
1464,157136
1465,136693
1466,230004
1467,301904
1468,325451
1469,277292
1470,135727
1471,70539
1472,66734
1473,25310
1474,343457
1475,343620
1476,12045
1477,242056
1478,292152
1479,19759
1480,344308
1481,251608
1482,94198
1483,268352
1484,226537
1485,282526
1486,274173
1487,313894
1488,76646
1489,259425
1490,86797
1491,61370
1492,312899
1493,329951
1494,253074
1495,278175
1496,250251
1497,269966
1498,316543
1499,329640
1500,300678
1501,71551
1502,61383
1503,55355
1504,226434
1505,215984
1506,291637
1507,244834
1508,182428
1509,307175
1510,241095
1511,136629
1512,42376
1513,173903
1514,223332
1515,270548
1516,115399
1517,158101
1518,326249
1519,112433
1520,224146
1521,298785
1522,20144
1523,97413
1524,46263
1525,69211
1526,319790
1527,253308
1528,156448
1529,299444
1530,164281
1531,302289
1532,93925
1533,244602
1534,158000
1535,39899
1536,246776
1537,153804
1538,39945
1539,236221
1540,139223
1541,98277
1542,35591
1543,335810
1544,28935
1545,147256
1546,291245
1547,237457
1548,287409
1549,298167
1550,16811
1551,71063
1552,17940
1553,205439
1554,346452
1555,211622
1556,167317
1557,28508
1558,5647
1559,325474
1560,213268
1561,64768
1562,230316
1563,251455
1564,44276
1565,216605
1566,119731
1567,252185
1568,252293
1569,156468
1570,137598
1571,10233
1572,233594
1573,222612
1574,285311
1575,192623
1576,57781
1577,313259
1578,112508
1579,212638
1580,320880
1581,113829
1582,48418
1583,261827
1584,30798
1585,327039
1586,250925
1587,321268
1588,101669
1589,9983
1590,341544
1591,52173
1592,247183
1593,247435
1594,318667
1595,163205
1596,92802
1597,215029
1598,176117
1599,268432
1600,88420
1601,218617
1602,18711
1603,22907
1604,85024
1605,298425
1606,287721
1607,314175
1608,263923
1609,54975
1610,141629
1611,112499
1612,83926
1613,51857
1614,244971
1615,207466
1616,286273
1617,315217
1618,280300
1619,244384
1620,335861
1621,146725
1622,150450
1623,108826
1624,122756
1625,315929
1626,233276
1627,166530
1628,104983
1629,248118
1630,98140
1631,231898
1632,241041
1633,48345
1634,271090
1635,202162
1636,284163
1637,195563
1638,79120
1639,296855
1640,47619
1641,342975
1642,104827
1643,237767
1644,158579
1645,220697
1646,345841
1647,21168
1648,348017
1649,297792
1650,14511
1651,323856
1652,259564
1653,157419
1654,279627
1655,112238
1656,325168
1657,288672
1658,266229
1659,125395
1660,267893
1661,258506
1662,152608
1663,54497
1664,8936
1665,9485
1666,28421
1667,125954
1668,190967
1669,252343
1670,89647
1671,129885
1672,312181
1673,296149
1674,38831
1675,327914
1676,9181
1677,65178
1678,346449
1679,214878
1680,128850
1681,26622
1682,18764
1683,178162
1684,334453
1685,132244
1686,124717
1687,299309
1688,327802
1689,90954
1690,291655
1691,170176
1692,271484
1693,336630
1694,174547
1695,280164
1696,291397
1697,16820
1698,186442
1699,244397
1700,74865
1701,228923
1702,228716
1703,271756
1704,34426
1705,227210
1706,224906
1707,244177
1708,90540
1709,579
1710,261989
1711,112637
1712,331278
1713,327823
1714,275733
1715,19174
1716,240888
1717,229692
1718,92167
1719,13774
1720,129257
1721,75553
1722,254029
1723,190163
1724,170737
1725,203694
1726,95928
1727,122454
1728,54942
1729,316614
1730,167503
1731,181212
1732,194010
1733,79708
1734,27650
1735,64480
1736,99365
1737,250634
1738,328210
1739,226432
1740,159977
1741,197282
1742,48435
1743,31047
1744,45540
1745,216644
1746,332143
1747,169605
1748,9088
1749,251470
1750,23340
1751,53114
1752,265078
1753,124165
1754,59707
1755,52329
1756,232793
1757,113911
1758,148048
1759,129030
1760,131162
1761,114521
1762,311591
1763,69476
1764,143775
1765,115989
1766,108066
1767,49657
1768,333887
1769,236277
1770,43022
1771,272519
1772,33314
1773,198456
1774,173183
1775,77200
1776,317088
1777,109547
1778,294113
1779,28879
1780,26717
1781,187415
1782,237755
1783,174398
1784,198570
1785,101625
1786,262327
1787,122846
1788,179755
1789,228505
1790,100559
1791,26965
1792,191672
1793,112090
1794,316012
1795,175010
1796,313780
1797,314550
1798,209702
1799,134557
1800,203773
1801,189796
1802,250336
1803,249646
1804,132933
1805,53667
1806,176280
1807,196517
1808,185150
1809,329448
1810,78903
1811,169387
1812,81220
1813,72682
1814,186914
1815,225826
1816,18318
1817,166858
1818,58019
1819,168835
1820,197787
1821,228748
1822,7148
1823,149094
1824,37515
1825,339935
1826,17090
1827,155721
1828,24905
1829,163725
1830,346815
1831,65065
1832,14642
1833,38322
1834,334493
1835,141669
1836,213981
1837,287932
1838,236356
1839,344216
1840,89092
1841,197008
1842,325716
1843,85131
1844,180916
1845,151138
1846,299690
1847,317098
1848,59750
1849,286799
1850,73543
1851,111042
1852,21963
1853,94630
1854,249574
1855,151541
1856,345118
1857,169502
1858,8798
1859,119603
1860,19865
1861,71227
1862,289572
1863,87674
1864,13769
1865,18430
1866,234827
1867,87581
1868,249482
1869,175160
1870,329109
1871,158194
1872,68112
1873,233531
1874,107694
1875,211143
1876,317711
1877,87652
1878,129698
1879,302455
1880,52314
1881,139796
1882,215661
1883,57835
1884,218318
1885,199676
1886,177670
1887,26137
1888,172308
1889,241175
1890,135648
1891,45382
1892,167880
1893,163631
1894,138036
1895,98648
1896,233325
1897,174213
1898,241026
1899,143040
1900,169887
1901,153784
1902,26919
1903,206800
1904,241520
1905,140345
1906,243893
1907,225612
1908,163809
1909,152137
1910,15377
1911,30081
1912,168928
1913,113735
1914,50334
1915,90631
1916,272665
1917,233388
1918,73040
1919,36440
1920,314615
1921,63677
1922,144789
1923,226687
1924,73403
1925,38682
1926,309341
1927,235367
1928,29281
1929,79854
1930,184987
1931,1635
1932,102643
1933,267069
1934,269373
1935,110970
1936,12170
1937,128069
1938,10802
1939,310354
1940,24257
1941,98221
1942,141542
1943,253808
1944,28792
1945,218326
1946,3184
1947,266351
1948,175350
1949,188029
1950,60488
1951,280235
1952,261215
1953,174985
1954,234141
1955,168961
1956,114585
1957,158634
1958,81775
1959,310873
1960,201811
1961,202313
1962,279681
1963,246074
1964,188733
1965,131438
1966,203993
1967,12557
1968,278702
1969,110509
1970,291225
1971,329734
1972,215564
1973,228492
1974,8606
1975,126882
1976,36701
1977,341749
1978,50233
1979,149356
1980,300496
1981,234350
1982,97889
1983,330473
1984,141919
1985,275404
1986,155806
1987,199705
1988,187575
1989,145880
1990,239546
1991,35847
1992,88658
1993,66687
1994,86236
1995,37545
1996,309387
1997,28329
1998,254842
1999,162486
2000,287018
2001,309688
2002,330599
2003,275704
2004,316259
2005,139122
2006,205587
2007,187739
2008,330566
2009,317926
2010,303223
2011,195958
2012,81352
2013,239306
2014,314025
2015,123602
2016,115505
2017,103037
2018,263653
2019,38425
2020,339335
2021,16285
2022,153688
2023,290572
2024,110895
2025,272301
2026,229561
2027,279562
2028,226813
2029,321043
2030,145232
2031,259064
2032,162415
2033,193242
2034,173677
2035,200571
2036,149051
2037,112848
2038,109437
2039,321644
2040,138438
2041,223239
2042,45534
2043,54717
2044,334825
2045,97254
2046,85269
2047,37714
2048,131509
2049,208877
2050,186129
2051,194623
2052,124503
2053,82332
2054,26355
2055,125872
2056,61420
2057,100059
2058,187169
2059,280224
2060,210773
2061,179615
2062,306263
2063,315103
2064,249782
2065,244981
2066,121047
2067,163782
2068,18619
2069,215945
2070,32841
2071,110000
2072,259955
2073,51665
2074,57982
2075,276245
2076,263660
2077,165373
2078,324562
2079,25446
2080,22833
2081,336118
2082,89994
2083,326471
2084,146378
2085,168827
2086,162694
2087,272040
2088,304143
2089,303115
2090,43880
2091,232565
2092,140955
2093,43694
2094,174621
2095,124310
2096,180927
2097,153262
2098,119297
2099,217085
2100,111851
2101,91760
2102,315188
2103,300977
2104,255237
2105,98038
2106,239788
2107,88865
2108,67858
2109,305027
2110,183555
2111,19748
2112,191590
2113,85345
2114,283839
2115,288216
2116,147040
2117,79579
2118,27527
2119,241246
2120,131419
2121,333144
2122,205002
2123,73928
2124,167189
2125,306622
2126,148088
2127,40630
2128,32372
2129,146968
2130,331048
2131,39444
2132,93771
2133,209771
2134,56529
2135,332028
2136,43416
2137,93531
2138,26925
2139,63959
2140,26841
2141,35488
2142,194460
2143,136364
2144,216747
2145,282822
2146,153222
2147,288994
2148,204605
2149,314337
2150,187398
2151,8491
2152,103731
2153,227251
2154,289762
2155,191881
2156,128467
2157,317530
2158,226231
2159,237889
2160,35495
2161,43845
2162,215395
2163,271964
2164,126450
2165,271747
2166,144255
2167,186682
2168,146168
2169,49825
2170,151689
2171,92900
2172,113205
2173,296382
2174,276634
2175,328411
2176,234945
2177,44394
2178,218656
2179,286711
2180,265554
2181,161458
2182,159207
2183,99898
2184,345783
2185,108610
2186,229915
2187,35528
2188,173956
2189,171395
2190,8788
2191,162365
2192,145698
2193,23860
2194,217310
2195,177027
2196,318227
2197,176061
2198,241506
2199,222546
2200,277878
2201,19472
2202,227683
2203,11185
2204,177950
2205,25407
2206,186002
2207,36944
2208,81401
2209,127006
2210,229211
2211,211901
2212,318220
2213,119835
2214,82789
2215,54545
2216,137288
2217,124290
2218,77410
2219,335144
2220,218472
2221,301020
2222,155845
2223,119677
2224,215892
2225,108782
2226,191177
2227,194140
2228,95440
2229,77851
2230,315817
2231,80123
2232,40911
2233,19199
2234,99085
2235,229945
2236,229474
2237,7607
2238,262286
2239,20691
2240,103719
2241,56362
2242,316628
2243,254398
2244,287065
2245,165625
2246,279349
2247,37269
2248,302886
2249,206455
2250,229579
2251,53607
2252,224382
2253,168019
2254,265765
2255,88982
2256,134779
2257,259361
2258,150676
2259,319116
2260,122360
2261,25468
2262,90692
2263,264107
2264,129755
2265,30165
2266,44076
2267,2777
2268,131253
2269,107382
2270,265831
2271,238532
2272,150133
2273,292030
2274,347205
2275,261336
2276,163892
2277,217334
2278,106334
2279,849
2280,245727
2281,179044
2282,104501
2283,187409
2284,45961
2285,318474
2286,195482
2287,143281
2288,301977
2289,261937
2290,40187
2291,183094
2292,63241
2293,247705
2294,334182
2295,5878
2296,71048
2297,237102
2298,128167
2299,91616
2300,35092
2301,327889
2302,286472
2303,180754
2304,155066
2305,136071
2306,156761
2307,21973
2308,183951
2309,160575
2310,220343
2311,105878
2312,317758
2313,80942
2314,75388
2315,171001
2316,124775
2317,97459
2318,167694
2319,19163
2320,118125
2321,301075
2322,316455
2323,79320
2324,288530
2325,203724
2326,235772
2327,113811
2328,128057
2329,116206
2330,120813
2331,217149
2332,83767
2333,314228
2334,207310
2335,179988
2336,261115
2337,141063
2338,24968
2339,271350
2340,94270
2341,327124
2342,268586
2343,252804
2344,280417
2345,142977
2346,119669
2347,9220
2348,333231
2349,243929
2350,101846
2351,127779
2352,338728
2353,251646
2354,62026
2355,29193
2356,190562
2357,104889
2358,269785
2359,126419
2360,60482
2361,179729
2362,284488
2363,85586
2364,76226
2365,185549
2366,274005
2367,57385
2368,122207
2369,116483
2370,52602
2371,343359
2372,100922
2373,261899
2374,96103
2375,124292
2376,293081
2377,332959
2378,314694
2379,31823
2380,49535
2381,155475
2382,163461
2383,299369
2384,99037
2385,76947
2386,223402
2387,231857
2388,302223
2389,295798
2390,221533
2391,164555
2392,180990
2393,274117
2394,30025
2395,236693
2396,219929
2397,103176
2398,242373
2399,17283
2400,58834
2401,280627
2402,95668
2403,237594
2404,212778
2405,62762
2406,186037
2407,49995
2408,190100
2409,123707
2410,45363
2411,134360
2412,223629
2413,60766
2414,16964
2415,18463
2416,5424
2417,278534
2418,114845
2419,85279
2420,17183
2421,263220
2422,208718
2423,95620
2424,335793
2425,202811
2426,255787
2427,281206
2428,271069
2429,277502
2430,94927
2431,223305
2432,347401
2433,41021
2434,31700
2435,152819
2436,6643
2437,24636
2438,294315
2439,257359
2440,36247
2441,285525
2442,314150
2443,69963
2444,14347
2445,85752
2446,127749
2447,243689
2448,32685
2449,296406
2450,147682
2451,54688
2452,304122
2453,255854
2454,246931
2455,63188
2456,177031
2457,24804
2458,314368
2459,4773
2460,238832
2461,202377
2462,178233
2463,140679
2464,114206
2465,34272
2466,184458
2467,36739
2468,87539
2469,221090
2470,87280
2471,270500
2472,218550
2473,17681
2474,346292
2475,76975
2476,17106
2477,72764
2478,27339
2479,346594
2480,31051
2481,207715
2482,324286
2483,48804
2484,157084
2485,334324
2486,323081
2487,19918
2488,345283
2489,144161
2490,219473
2491,341686
2492,233785
2493,49607
2494,249052
2495,44325
2496,249481
2497,272345
2498,115324
